operazione, tempo, numba
Miliardo,43.52,N
Miliardo,42.01,N
Miliardo,42.01,N
Miliardo,42.09,N
Miliardo,42.12,N
Miliardo,42.14,N
Miliardo,42.14,N
Miliardo,42.11,N
Miliardo,42.14,N
Miliardo,42.09,N
Miliardo,0.04,S
Miliardo,0.04,S
Miliardo,0.04,S
Miliardo,0.04,S
Miliardo,0.04,S
Miliardo,0.04,S
Miliardo,0.04,S
Miliardo,0.04,S
Miliardo,0.04,S
Miliardo,0.04,S
Array,9.88,N
Array,9.89,N
Array,9.93,N
Array,9.89,N
Array,9.9,N
Array,9.87,N
Array,9.88,N
Array,9.87,N
Array,9.89,N
Array,9.87,N
Array,0.1,S
Array,0.1,S
Array,0.1,S
Array,0.1,S
Array,0.1,S
Array,0.1,S
Array,0.1,S
Array,0.1,S
Array,0.1,S
Array,0.11,S
